"Refid","Bibliography","User","Ris Code","Level","Study ES List_k","effect_intervention_group","effect_comparison_group","effect_outcome","effect_outcome_type","effect_report_number","effect_page","effect_type","effect_timing","effect_favored","effect_icc","effect_intervention_baseline_participants","effect_comparison_baseline_participants","effect_intervention_followup_participants","effect_comparison_followup_participants","effect_intervention_baseline_classrooms","effect_comparison_baseline_classrooms","effect_intervention_followup_classrooms","effect_comparison_followup_classrooms","effect_intervention_baseline_schools","effect_comparison_baseline_schoools","effect_intervention_followup_schools","effect_comparison_followup_schools","effect_intervention_baseline_mean","effect_intervention_baseline_sd","effect_intervention_followup_mean","effect_intervention_followup_sd","effect_comparison_baseline_mean","effect_comparison_baseline_sd","effect_comparison_followup_mean","effect_comparison_followup_sd","effect_intervention_n_successful","effect_intervention_n_unsuccessful","effect_comparison_n_successful","effect_comparison_n_unsuccessful","effect_size_type -> NA - I entered the necessary information above","effect_size_type -> Means and Standard Errors (SEs)","effect_size_type -> Independent t-test","effect_size_type -> One-way ANOVA F-test (with df = 1)","effect_size_type -> Chi-squared test statistic (with df = 1)","effect_size_type -> Unstandardized regression coefficient for treatment dummy indicator","effect_size_type -> Standardized regression coefficient for treatment dummy indicator","effect_size_type -> Author-reported odds ratio","effect_size_type -> Author-reported standardized mean difference","effect_size_type -> Insufficient information to calculate effect size","effect_r_squared","effect_SE_intervention_mean","effect_SE_intervention_se","effect_SE_comparison_mean","effect_SE_comparison_se","effect_t_test","effect_f_test","effect_chi_square","effect_unstandardized_coefficient","effect_unstandardized_sd","effect_standardized_coefficient","effect_standardized_sd","effect_or","effect_or_ci_lower","effect_or_ci_upper","effect_smd","effect_smd_ci_lower","effect_smd_ci_upper","effect_notes"
10062,"Tomba, et al 2010 ",spgrant,,8,"1-Well-Being Therapy (WBT)-2-Active-Anxiety-management protocol -3-Kellner&rsquo;s Symptom Questionnaire - Depression Scale-SQ - Depression-Continuous","1-Well-Being Therapy (WBT)","2-Active-Anxiety-management protocol ","3-Kellner&rsquo;s Symptom Questionnaire - Depression Scale-SQ - Depression",Continuous,10062,330,Pretest,,Intervention,-999,82,80,,,4,4,,,4,4,,,3.04,3.50,,,3.51,3.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10062,"Tomba, et al 2010 ",spgrant,,8,"1-Well-Being Therapy (WBT)-2-Active-Anxiety-management protocol -3-Kellner&rsquo;s Symptom Questionnaire - Depression Scale-SQ - Depression-Continuous-0","1-Well-Being Therapy (WBT)","2-Active-Anxiety-management protocol ","3-Kellner&rsquo;s Symptom Questionnaire - Depression Scale-SQ - Depression",Continuous,10062,330,Post-test,0,Comparison,-999,,,79,76,,,4,4,,,4,4,,,3.21,3.52,,,2.75,3.62,,,,,"NA - I entered the necessary information above",,,,,,,,,,,,,,,,,,,,,,,,,,,,
10062,"Tomba, et al 2010 ",spgrant,,8,"1-Well-Being Therapy (WBT)-2-Active-Anxiety-management protocol -3-Kellner&rsquo;s Symptom Questionnaire - Depression Scale-SQ - Depression-Continuous-26","1-Well-Being Therapy (WBT)","2-Active-Anxiety-management protocol ","3-Kellner&rsquo;s Symptom Questionnaire - Depression Scale-SQ - Depression",Continuous,10062,330,Post-test,26,Comparison,-999,,,77,72,,,4,4,,,4,4,,,3.61,3.82,,,3.08,3.59,,,,,"NA - I entered the necessary information above",,,,,,,,,,,,,,,,,,,,,,,,,,,,
10062,"Tomba, et al 2010 ",spgrant,,8,"1-Well-Being Therapy (WBT)-2-Active-Anxiety-management protocol -11-Kellner&rsquo;s Symptom Questionnaire - Contentment-SQ - Contentment-Continuous-26","1-Well-Being Therapy (WBT)","2-Active-Anxiety-management protocol ","11-Kellner&rsquo;s Symptom Questionnaire - Contentment-SQ - Contentment",Continuous,10062,330,Post-test,26,Comparison,-999,,,77,72,,,4,4,,,4,4,,,1.11,1.67,,,0.85,1.39,,,,,"NA - I entered the necessary information above",,,,,,,,,,,,,,,,,,,,,,,,,,,,
10062,"Tomba, et al 2010 ",mschweer,,8,"1-Well-Being Therapy (WBT)-2-Active-Anxiety-management protocol -1-Kellner&#039;s Symptom Questionnaire - Anxiety Scale-SQ - Anxiety-Continuous","1-Well-Being Therapy (WBT)","2-Active-Anxiety-management protocol ","1-Kellner&#039;s Symptom Questionnaire - Anxiety Scale-SQ - Anxiety",Continuous,10062,330,Pretest,,"Neither - exactly equal",-999,82,80,,,4,4,,,4,4,,,3.80,3.24,,,3.80,3.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10062,"Tomba, et al 2010 ",mschweer,,8,"1-Well-Being Therapy (WBT)-2-Active-Anxiety-management protocol -1-Kellner&#039;s Symptom Questionnaire - Anxiety Scale-SQ - Anxiety-Continuous-0","1-Well-Being Therapy (WBT)","2-Active-Anxiety-management protocol ","1-Kellner&#039;s Symptom Questionnaire - Anxiety Scale-SQ - Anxiety",Continuous,10062,330,Post-test,0,Comparison,-999,,,79,76,,,4,4,,,4,4,,,3.70,3.62,,,2.88,3.38,,,,,"NA - I entered the necessary information above",,,,,,,,,,,,,,,,,,,,,,,,,,,,
10062,"Tomba, et al 2010 ",mschweer,,8,"1-Well-Being Therapy (WBT)-2-Active-Anxiety-management protocol -1-Kellner&#039;s Symptom Questionnaire - Anxiety Scale-SQ - Anxiety-Continuous-26","1-Well-Being Therapy (WBT)","2-Active-Anxiety-management protocol ","1-Kellner&#039;s Symptom Questionnaire - Anxiety Scale-SQ - Anxiety",Continuous,10062,330,Post-test,26,Comparison,-999,,,77,72,,,4,4,,,4,4,,,3.40,3.13,,,2.93,2.93,,,,,"NA - I entered the necessary information above",,,,,,,,,,,,,,,,,,,,,,,,,,,,
10062,"Tomba, et al 2010 ",mschweer,,8,"1-Well-Being Therapy (WBT)-2-Active-Anxiety-management protocol -2-Revised Children&rsquo;s Manifest Anxiety Scale (RCMAS)-RCMAS-Continuous","1-Well-Being Therapy (WBT)","2-Active-Anxiety-management protocol ","2-Revised Children&rsquo;s Manifest Anxiety Scale (RCMAS)-RCMAS",Continuous,10062,330,Pretest,,Intervention,-999,82,80,,,4,4,,,4,4,,,9.07,5.89,,,9.44,5.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10062,"Tomba, et al 2010 ",mschweer,,8,"1-Well-Being Therapy (WBT)-2-Active-Anxiety-management protocol -9-Psychological Well-Being Scales - Self-Acceptance-PWB - Self-Acceptance-Continuous","1-Well-Being Therapy (WBT)","2-Active-Anxiety-management protocol ","9-Psychological Well-Being Scales - Self-Acceptance-PWB - Self-Acceptance",Continuous,10062,330,Pretest,,Intervention,-999,82,80,,,4,4,,,4,4,,,12.95,3.26,,,12.25,3.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10062,"Tomba, et al 2010 ",mschweer,,8,"1-Well-Being Therapy (WBT)-2-Active-Anxiety-management protocol -9-Psychological Well-Being Scales - Self-Acceptance-PWB - Self-Acceptance-Continuous-26","1-Well-Being Therapy (WBT)","2-Active-Anxiety-management protocol ","9-Psychological Well-Being Scales - Self-Acceptance-PWB - Self-Acceptance",Continuous,10062,330,Post-test,26,Intervention,-999,,,77,72,,,4,4,,,4,4,,,12.39,3.64,,,12.14,3.65,,,,,"NA - I entered the necessary information above",,,,,,,,,,,,,,,,,,,,,,,,,,,,
10062,"Tomba, et al 2010 ",mschweer,,8,"1-Well-Being Therapy (WBT)-2-Active-Anxiety-management protocol -9-Psychological Well-Being Scales - Self-Acceptance-PWB - Self-Acceptance-Continuous-0","1-Well-Being Therapy (WBT)","2-Active-Anxiety-management protocol ","9-Psychological Well-Being Scales - Self-Acceptance-PWB - Self-Acceptance",Continuous,10062,330,Post-test,0,Intervention,-999,,,79,76,,,4,4,,,4,4,,,12.73,3.19,,,12.05,3.38,,,,,"NA - I entered the necessary information above",,,,,,,,,,,,,,,,,,,,,,,,,,,,
10062,"Tomba, et al 2010 ",mschweer,,8,"1-Well-Being Therapy (WBT)-2-Active-Anxiety-management protocol -2-Revised Children&rsquo;s Manifest Anxiety Scale (RCMAS)-RCMAS-Continuous-0","1-Well-Being Therapy (WBT)","2-Active-Anxiety-management protocol ","2-Revised Children&rsquo;s Manifest Anxiety Scale (RCMAS)-RCMAS",Continuous,10062,330,Post-test,0,Comparison,-999,,,79,76,,,4,4,,,4,4,,,8.44,6.12,,,7.93,5.89,,,,,"NA - I entered the necessary information above",,,,,,,,,,,,,,,,,,,,,,,,,,,,
10062,"Tomba, et al 2010 ",mschweer,,8,"1-Well-Being Therapy (WBT)-2-Active-Anxiety-management protocol -4-Psychological Well-Being Scales - Autonomy-PWB - Autonomy-Continuous-0","1-Well-Being Therapy (WBT)","2-Active-Anxiety-management protocol ","4-Psychological Well-Being Scales - Autonomy-PWB - Autonomy",Continuous,10062,330,Post-test,0,Intervention,-999,,,79,76,,,4,4,,,4,4,,,11.95,3.78,,,11.85,3.67,,,,,"NA - I entered the necessary information above",,,,,,,,,,,,,,,,,,,,,,,,,,,,
10062,"Tomba, et al 2010 ",mschweer,,8,"1-Well-Being Therapy (WBT)-2-Active-Anxiety-management protocol -2-Revised Children&rsquo;s Manifest Anxiety Scale (RCMAS)-RCMAS-Continuous-26","1-Well-Being Therapy (WBT)","2-Active-Anxiety-management protocol ","2-Revised Children&rsquo;s Manifest Anxiety Scale (RCMAS)-RCMAS",Continuous,10062,330,Post-test,26,Comparison,-999,,,77,72,,,4,4,,,4,4,,,8.61,5.90,,,8.21,6.24,,,,,"NA - I entered the necessary information above",,,,,,,,,,,,,,,,,,,,,,,,,,,,
10062,"Tomba, et al 2010 ",mschweer,,8,"1-Well-Being Therapy (WBT)-2-Active-Anxiety-management protocol -4-Psychological Well-Being Scales - Autonomy-PWB - Autonomy-Continuous-26","1-Well-Being Therapy (WBT)","2-Active-Anxiety-management protocol ","4-Psychological Well-Being Scales - Autonomy-PWB - Autonomy",Continuous,10062,330,Post-test,26,Intervention,-999,,,77,72,,,4,4,,,4,4,,,13.20,3.26,,,12.11,3.61,,,,,"NA - I entered the necessary information above",,,,,,,,,,,,,,,,,,,,,,,,,,,,
10062,"Tomba, et al 2010 ",mschweer,,8,"1-Well-Being Therapy (WBT)-2-Active-Anxiety-management protocol -5-Psychological Well-Being Scales - Environmental Mastery-PWB - Environmental Mastery-Continuous","1-Well-Being Therapy (WBT)","2-Active-Anxiety-management protocol ","5-Psychological Well-Being Scales - Environmental Mastery-PWB - Environmental Mastery",Continuous,10062,330,Pretest,,Intervention,-999,82,80,,,4,4,,,4,4,,,14.49,2.85,,,14.10,3.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10062,"Tomba, et al 2010 ",mschweer,,8,"1-Well-Being Therapy (WBT)-2-Active-Anxiety-management protocol -5-Psychological Well-Being Scales - Environmental Mastery-PWB - Environmental Mastery-Continuous-0","1-Well-Being Therapy (WBT)","2-Active-Anxiety-management protocol ","5-Psychological Well-Being Scales - Environmental Mastery-PWB - Environmental Mastery",Continuous,10062,330,Post-test,0,Intervention,-999,,,79,76,,,4,4,,,4,4,,,14.48,2.66,,,14.16,3.09,,,,,"NA - I entered the necessary information above",,,,,,,,,,,,,,,,,,,,,,,,,,,,
10062,"Tomba, et al 2010 ",mschweer,,8,"1-Well-Being Therapy (WBT)-2-Active-Anxiety-management protocol -5-Psychological Well-Being Scales - Environmental Mastery-PWB - Environmental Mastery-Continuous-26","1-Well-Being Therapy (WBT)","2-Active-Anxiety-management protocol ","5-Psychological Well-Being Scales - Environmental Mastery-PWB - Environmental Mastery",Continuous,10062,330,Post-test,26,Intervention,-999,,,77,72,,,4,4,,,4,4,,,14.21,2.87,,,14.03,2.95,,,,,"NA - I entered the necessary information above",,,,,,,,,,,,,,,,,,,,,,,,,,,,
10062,"Tomba, et al 2010 ",mschweer,,8,"1-Well-Being Therapy (WBT)-2-Active-Anxiety-management protocol -6-Psychological Well-Being Scales - Personal Growth-PWB - Personal Growth-Continuous","1-Well-Being Therapy (WBT)","2-Active-Anxiety-management protocol ","6-Psychological Well-Being Scales - Personal Growth-PWB - Personal Growth",Continuous,10062,330,Pretest,,Comparison,-999,82,80,,,4,4,,,4,4,,,12.12,3.66,,,12.93,3.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10062,"Tomba, et al 2010 ",mschweer,,8,"1-Well-Being Therapy (WBT)-2-Active-Anxiety-management protocol -6-Psychological Well-Being Scales - Personal Growth-PWB - Personal Growth-Continuous-0","1-Well-Being Therapy (WBT)","2-Active-Anxiety-management protocol ","6-Psychological Well-Being Scales - Personal Growth-PWB - Personal Growth",Continuous,10062,330,Post-test,0,Intervention,-999,,,79,76,,,4,4,,,4,4,,,13.01,2.76,,,12.26,3.11,,,,,"NA - I entered the necessary information above",,,,,,,,,,,,,,,,,,,,,,,,,,,,
10062,"Tomba, et al 2010 ",mschweer,,8,"1-Well-Being Therapy (WBT)-2-Active-Anxiety-management protocol -6-Psychological Well-Being Scales - Personal Growth-PWB - Personal Growth-Continuous-26","1-Well-Being Therapy (WBT)","2-Active-Anxiety-management protocol ","6-Psychological Well-Being Scales - Personal Growth-PWB - Personal Growth",Continuous,10062,330,Post-test,26,Intervention,-999,,,77,72,,,4,4,,,4,4,,,12.77,2.88,,,12.34,3.27,,,,,"NA - I entered the necessary information above",,,,,,,,,,,,,,,,,,,,,,,,,,,,
10062,"Tomba, et al 2010 ",mschweer,,8,"1-Well-Being Therapy (WBT)-2-Active-Anxiety-management protocol -8-Psychological Well-Being Scales - Purpose in Life-PWB - Purpose in Life-Continuous","1-Well-Being Therapy (WBT)","2-Active-Anxiety-management protocol ","8-Psychological Well-Being Scales - Purpose in Life-PWB - Purpose in Life",Continuous,10062,330,Pretest,,Intervention,-999,82,80,,,4,4,,,4,4,,,14.99,3.03,,,14.56,3.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10062,"Tomba, et al 2010 ",mschweer,,8,"1-Well-Being Therapy (WBT)-2-Active-Anxiety-management protocol -8-Psychological Well-Being Scales - Purpose in Life-PWB - Purpose in Life-Continuous-0","1-Well-Being Therapy (WBT)","2-Active-Anxiety-management protocol ","8-Psychological Well-Being Scales - Purpose in Life-PWB - Purpose in Life",Continuous,10062,330,Post-test,0,Intervention,-999,,,79,76,,,4,4,,,4,4,,,14.84,3.37,,,14.49,3.70,,,,,"NA - I entered the necessary information above",,,,,,,,,,,,,,,,,,,,,,,,,,,,
10062,"Tomba, et al 2010 ",mschweer,,8,"1-Well-Being Therapy (WBT)-2-Active-Anxiety-management protocol -8-Psychological Well-Being Scales - Purpose in Life-PWB - Purpose in Life-Continuous-26","1-Well-Being Therapy (WBT)","2-Active-Anxiety-management protocol ","8-Psychological Well-Being Scales - Purpose in Life-PWB - Purpose in Life",Continuous,10062,330,Post-test,26,Intervention,-999,,,77,72,,,4,4,,,4,4,,,14.61,3.44,,,14.50,3.66,,,,,"NA - I entered the necessary information above",,,,,,,,,,,,,,,,,,,,,,,,,,,,
10062,"Tomba, et al 2010 ",mschweer,,8,"1-Well-Being Therapy (WBT)-2-Active-Anxiety-management protocol -7-Psychological Well-Being Scales - Positive Relations-PWB - Positive Relations-Continuous","1-Well-Being Therapy (WBT)","2-Active-Anxiety-management protocol ","7-Psychological Well-Being Scales - Positive Relations-PWB - Positive Relations",Continuous,10062,330,Pretest,,Intervention,-999,82,80,,,4,4,,,4,4,,,14.09,3.32,,,12.90,4.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10062,"Tomba, et al 2010 ",mschweer,,8,"1-Well-Being Therapy (WBT)-2-Active-Anxiety-management protocol -7-Psychological Well-Being Scales - Positive Relations-PWB - Positive Relations-Continuous-0","1-Well-Being Therapy (WBT)","2-Active-Anxiety-management protocol ","7-Psychological Well-Being Scales - Positive Relations-PWB - Positive Relations",Continuous,10062,330,Post-test,0,Intervention,-999,,,79,76,,,4,4,,,4,4,,,14.02,3.66,,,13.01,3.72,,,,,"NA - I entered the necessary information above",,,,,,,,,,,,,,,,,,,,,,,,,,,,
10062,"Tomba, et al 2010 ",mschweer,,8,"1-Well-Being Therapy (WBT)-2-Active-Anxiety-management protocol -7-Psychological Well-Being Scales - Positive Relations-PWB - Positive Relations-Continuous-26","1-Well-Being Therapy (WBT)","2-Active-Anxiety-management protocol ","7-Psychological Well-Being Scales - Positive Relations-PWB - Positive Relations",Continuous,10062,330,Post-test,26,Intervention,-999,,,77,72,,,4,4,,,4,4,,,13.48,3.89,,,13.26,3.92,,,,,"NA - I entered the necessary information above",,,,,,,,,,,,,,,,,,,,,,,,,,,,
10062,"Tomba, et al 2010 ",mschweer,,8,"1-Well-Being Therapy (WBT)-2-Active-Anxiety-management protocol -10-Kellner&rsquo;s Symptom Questionnaire - Relaxation-SQ - Relaxation-Continuous","1-Well-Being Therapy (WBT)","2-Active-Anxiety-management protocol ","10-Kellner&rsquo;s Symptom Questionnaire - Relaxation-SQ - Relaxation",Continuous,10062,330,Pretest,,Comparison,-999,82,80,,,4,4,,,4,4,,,1.57,1.46,,,1.55,1.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10062,"Tomba, et al 2010 ",mschweer,,8,"1-Well-Being Therapy (WBT)-2-Active-Anxiety-management protocol -10-Kellner&rsquo;s Symptom Questionnaire - Relaxation-SQ - Relaxation-Continuous-0","1-Well-Being Therapy (WBT)","2-Active-Anxiety-management protocol ","10-Kellner&rsquo;s Symptom Questionnaire - Relaxation-SQ - Relaxation",Continuous,10062,330,Post-test,0,Intervention,-999,,,79,76,,,4,4,,,4,4,,,1.35,1.41,,,1.46,1.73,,,,,"NA - I entered the necessary information above",,,,,,,,,,,,,,,,,,,,,,,,,,,,
10062,"Tomba, et al 2010 ",mschweer,,8,"1-Well-Being Therapy (WBT)-2-Active-Anxiety-management protocol -10-Kellner&rsquo;s Symptom Questionnaire - Relaxation-SQ - Relaxation-Continuous-26","1-Well-Being Therapy (WBT)","2-Active-Anxiety-management protocol ","10-Kellner&rsquo;s Symptom Questionnaire - Relaxation-SQ - Relaxation",Continuous,10062,330,Post-test,26,Comparison,-999,,,77,72,,,4,4,,,4,4,,,1.68,1.61,,,1.39,1.58,,,,,"NA - I entered the necessary information above",,,,,,,,,,,,,,,,,,,,,,,,,,,,
10062,"Tomba, et al 2010 ",mschweer,,8,"1-Well-Being Therapy (WBT)-2-Active-Anxiety-management protocol -12-Kellner&rsquo;s Symptom Questionnaire - Physical Well-being-SQ - Physical Well-being-Continuous","1-Well-Being Therapy (WBT)","2-Active-Anxiety-management protocol ","12-Kellner&rsquo;s Symptom Questionnaire - Physical Well-being-SQ - Physical Well-being",Continuous,10062,330,Pretest,,Comparison,-999,82,80,,,4,4,,,4,4,,,1.84,1.56,,,1.66,1.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10062,"Tomba, et al 2010 ",mschweer,,8,"1-Well-Being Therapy (WBT)-2-Active-Anxiety-management protocol -12-Kellner&rsquo;s Symptom Questionnaire - Physical Well-being-SQ - Physical Well-being-Continuous-0","1-Well-Being Therapy (WBT)","2-Active-Anxiety-management protocol ","12-Kellner&rsquo;s Symptom Questionnaire - Physical Well-being-SQ - Physical Well-being",Continuous,10062,330,Post-test,0,Intervention,-999,,,79,76,,,4,4,,,4,4,,,1.60,1.43,,,1.76,1.64,,,,,"NA - I entered the necessary information above",,,,,,,,,,,,,,,,,,,,,,,,,,,,
10062,"Tomba, et al 2010 ",mschweer,,8,"1-Well-Being Therapy (WBT)-2-Active-Anxiety-management protocol -12-Kellner&rsquo;s Symptom Questionnaire - Physical Well-being-SQ - Physical Well-being-Continuous-26","1-Well-Being Therapy (WBT)","2-Active-Anxiety-management protocol ","12-Kellner&rsquo;s Symptom Questionnaire - Physical Well-being-SQ - Physical Well-being",Continuous,10062,330,Post-test,26,Comparison,-999,,,77,72,,,4,4,,,4,4,,,1.90,1.78,,,1.79,1.58,,,,,"NA - I entered the necessary information above",,,,,,,,,,,,,,,,,,,,,,,,,,,,
10062,"Tomba, et al 2010 ",mschweer,,8,"1-Well-Being Therapy (WBT)-2-Active-Anxiety-management protocol -13-Kellner&rsquo;s Symptom Questionnaire - Friendliness-SQ - Friendliness-Continuous","1-Well-Being Therapy (WBT)","2-Active-Anxiety-management protocol ","13-Kellner&rsquo;s Symptom Questionnaire - Friendliness-SQ - Friendliness",Continuous,10062,330,Pretest,,Intervention,-999,82,80,,,4,4,,,4,4,,,1.26,1.32,,,1.45,1.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10062,"Tomba, et al 2010 ",mschweer,,8,"1-Well-Being Therapy (WBT)-2-Active-Anxiety-management protocol -13-Kellner&rsquo;s Symptom Questionnaire - Friendliness-SQ - Friendliness-Continuous-26","1-Well-Being Therapy (WBT)","2-Active-Anxiety-management protocol ","13-Kellner&rsquo;s Symptom Questionnaire - Friendliness-SQ - Friendliness",Continuous,10062,330,Post-test,26,Intervention,-999,,,77,72,,,4,4,,,4,4,,,1.34,1.34,,,1.40,1.62,,,,,"NA - I entered the necessary information above",,,,,,,,,,,,,,,,,,,,,,,,,,,,
10062,"Tomba, et al 2010 ",mschweer,,8,"1-Well-Being Therapy (WBT)-2-Active-Anxiety-management protocol -4-Psychological Well-Being Scales - Autonomy-PWB - Autonomy-Continuous","1-Well-Being Therapy (WBT)","2-Active-Anxiety-management protocol ","4-Psychological Well-Being Scales - Autonomy-PWB - Autonomy",Continuous,10062,330,Pretest,,Intervention,-999,82,80,,,4,4,,,4,4,,,12.71,2.93,,,12.01,3.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10062,"Tomba, et al 2010 ",mschweer,,8,"1-Well-Being Therapy (WBT)-2-Active-Anxiety-management protocol -13-Kellner&rsquo;s Symptom Questionnaire - Friendliness-SQ - Friendliness-Continuous-0","1-Well-Being Therapy (WBT)","2-Active-Anxiety-management protocol ","13-Kellner&rsquo;s Symptom Questionnaire - Friendliness-SQ - Friendliness",Continuous,10062,330,Post-test,0,Intervention,-999,,,79,76,,,4,4,,,4,4,,,1.41,1.30,,,1.90,1.75,,,,,"NA - I entered the necessary information above",,,,,,,,,,,,,,,,,,,,,,,,,,,,
10062,"Tomba, et al 2010 ",mschweer,,8,"1-Well-Being Therapy (WBT)-2-Active-Anxiety-management protocol -11-Kellner&rsquo;s Symptom Questionnaire - Contentment-SQ - Contentment-Continuous-0","1-Well-Being Therapy (WBT)","2-Active-Anxiety-management protocol ","11-Kellner&rsquo;s Symptom Questionnaire - Contentment-SQ - Contentment",Continuous,10062,330,Post-test,0,Intervention,-999,,,79,76,,,4,4,,,4,4,,,0.78,1.29,,,1.04,1.51,,,,,"NA - I entered the necessary information above",,,,,,,,,,,,,,,,,,,,,,,,,,,,
10062,"Tomba, et al 2010 ",mschweer,,8,"1-Well-Being Therapy (WBT)-2-Active-Anxiety-management protocol -11-Kellner&rsquo;s Symptom Questionnaire - Contentment-SQ - Contentment-Continuous-26","1-Well-Being Therapy (WBT)","2-Active-Anxiety-management protocol ","11-Kellner&rsquo;s Symptom Questionnaire - Contentment-SQ - Contentment",Continuous,10062,330,Post-test,26,Comparison,-999,,,77,72,,,4,4,,,4,4,,,1.11,1.67,,,0.85,1.39,,,,,"NA - I entered the necessary information above",,,,,,,,,,,,,,,,,,,,,,,,,,,,
10062,"Tomba, et al 2010 ",mschweer,,8,"1-Well-Being Therapy (WBT)-2-Active-Anxiety-management protocol -3-Kellner&rsquo;s Symptom Questionnaire - Depression Scale-SQ - Depression-Continuous","1-Well-Being Therapy (WBT)","2-Active-Anxiety-management protocol ","3-Kellner&rsquo;s Symptom Questionnaire - Depression Scale-SQ - Depression",Continuous,10062,330,Pretest,,Intervention,-999,82,80,,,4,4,,,4,4,,,3.04,3.50,,,3.51,3.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10062,"Tomba, et al 2010 ",mschweer,,8,"1-Well-Being Therapy (WBT)-2-Active-Anxiety-management protocol -3-Kellner&rsquo;s Symptom Questionnaire - Depression Scale-SQ - Depression-Continuous-0","1-Well-Being Therapy (WBT)","2-Active-Anxiety-management protocol ","3-Kellner&rsquo;s Symptom Questionnaire - Depression Scale-SQ - Depression",Continuous,10062,330,Post-test,0,Comparison,-999,,,79,76,,,4,4,,,4,4,,,3.21,3.52,,,2.75,3.62,,,,,"NA - I entered the necessary information above",,,,,,,,,,,,,,,,,,,,,,,,,,,,
10062,"Tomba, et al 2010 ",mschweer,,8,"1-Well-Being Therapy (WBT)-2-Active-Anxiety-management protocol -3-Kellner&rsquo;s Symptom Questionnaire - Depression Scale-SQ - Depression-Continuous-26","1-Well-Being Therapy (WBT)","2-Active-Anxiety-management protocol ","3-Kellner&rsquo;s Symptom Questionnaire - Depression Scale-SQ - Depression",Continuous,10062,330,Post-test,26,Comparison,-999,,,77,72,,,4,4,,,4,4,,,3.61,3.82,,,3.08,3.59,,,,,"NA - I entered the necessary information above",,,,,,,,,,,,,,,,,,,,,,,,,,,,
10062,"Tomba, et al 2010 ",mschweer,,8,"1-Well-Being Therapy (WBT)-2-Active-Anxiety-management protocol -11-Kellner&rsquo;s Symptom Questionnaire - Contentment-SQ - Contentment-Continuous","1-Well-Being Therapy (WBT)","2-Active-Anxiety-management protocol ","11-Kellner&rsquo;s Symptom Questionnaire - Contentment-SQ - Contentment",Continuous,10062,330,Pretest,,Intervention,-999,82,80,,,4,4,,,4,4,,,0.74,1.35,,,0.96,1.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10064,"Stallard, et al 2014 ",spgrant,,8,"1-Health-led Friends-3-TAU-7-SAT-SAT - Reading-Continuous","1-Health-led Friends",3-TAU,"7-SAT-SAT - Reading",Continuous,10321,1303,Pretest,,Intervention,-999,473,387,,,-999,-999,,,14,12,,,16.13,4.10,,,15.97,4.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10064,"Stallard, et al 2014 ",spgrant,,8,"1-Health-led Friends-3-TAU-7-SAT-SAT - Reading-Continuous-52","1-Health-led Friends",3-TAU,"7-SAT-SAT - Reading",Continuous,10321,1303,Post-test,52,Intervention,-999,,,410,365,,,-999,-999,,,14,12,,,28.56,4.68,,,28.46,4.71,,,,,"NA - I entered the necessary information above",,,,,,,,,,,,,,,,,,,,,,,,,,,,
10064,"Stallard, et al 2014 ",spgrant,,8,"1-Health-led Friends-3-TAU-8-SAT-SAT - Writing-Continuous-52","1-Health-led Friends",3-TAU,"8-SAT-SAT - Writing",Continuous,10321,1303,Post-test,52,Intervention,-999,,,410,365,,,-999,-999,,,14,12,,,27.86,4.89,,,27.18,4.36,,,,,"NA - I entered the necessary information above",,,,,,,,,,,,,,,,,,,,,,,,,,,,
10064,"Stallard, et al 2014 ",spgrant,,8,"1-Health-led Friends-3-TAU-9-SAT-SAT - Maths-Continuous-52","1-Health-led Friends",3-TAU,"9-SAT-SAT - Maths",Continuous,10321,1303,Post-test,52,Intervention,-999,,,410,365,,,-999,-999,,,14,12,,,29.91,4.92,,,28.08,5.06,,,,,"NA - I entered the necessary information above",,,,,,,,,,,,,,,,,,,,,,,,,,,,
10064,"Stallard, et al 2014 ",spgrant,,8,"2-School-led Friends-3-TAU-9-SAT-SAT - Maths-Continuous-52","2-School-led Friends",3-TAU,"9-SAT-SAT - Maths",Continuous,10321,1303,Post-test,52,Intervention,-999,,,438,365,,,-999,-999,,,14,12,,,29.23,5.04,,,28.08,5.06,,,,,"NA - I entered the necessary information above",,,,,,,,,,,,,,,,,,,,,,,,,,,,
