"Refid","Bibliography"
3213,"Bo, Ai, Goings, Trenette Clark, Evans, Caroline B. R., Sharma, Anjalee, Jennings, Zoe, Durand, Brenna, Bardeen, Angela, Murray-Lichtman, Andrea (2023).  Culturally sensitive prevention programs for substance use among adolescents of color: A systematic review and meta-analysis of randomized controlled trials. Clinical psychology review, 99(),  102233. 10.1016/j.cpr.2022.102233"
3214,"Cotton, Sian, McGrady, Meghan E., Rosenthal, Susan L. (2010).  Measurement of religiosity/spirituality in adolescent health outcomes research: trends and recommendations. Journal of religion and health, 49(4),  414. 10.1007/s10943-010-9324-0"
3215,"Lee, Yong Yi, Le, Long Khanh-Dao, Stockings, Emily A., Hay, Phillipa, Whiteford, Harvey A., Barendregt, Jan J., Mihalopoulos, Cathrine (2018).  Estimation of a Relative Risk Effect Size when Using Continuous Outcomes Data: An Application of Methods in the Prevention of Major Depression and Eating  Disorders. Medical decision making : an international journal of the Society for Medical Decision Making, 38(7),  866. 10.1177/0272989X18793394"
3216,"Li, Longxi, Moosbrugger, Michelle E. (2021).  Correlations between Physical Activity Participation and the Environment in Children and Adolescents: A Systematic Review and Meta-Analysis Using Ecological  Frameworks. International journal of environmental research and public health, 18(17),  . 10.3390/ijerph18179080"
3217,"Polanin, Joshua R., Espelage, Dorothy L., Grotpeter, Jennifer K., Spinney, Elizabeth, Ingram, Katherine M., Valido, Alberto, El Sheikh, America, Torgal, Cagil, Robinson, Luz (2021).  A meta-analysis of longitudinal partial correlations between school violence and mental health, school performance, and criminal or delinquent acts. Psychological bulletin, 147(2),  115. 10.1037/bul0000314"
3218,"Xiang, Yajie, Cipriani, Andrea, Teng, Teng, Del Giovane, Cinzia, Zhang, Yuqing, Weisz, John R., Li, Xuemei, Cuijpers, Pim, Liu, Xueer, Barth, Jürgen, Jiang, Yuanliang, Cohen, David, Fan, Li, Gillies, Donna, Du, Kang, Ravindran, Arun V., Zhou, Xinyu, Xie, Peng (2021).  Comparative efficacy and acceptability of psychotherapies for post-traumatic stress disorder in children and adolescents: a systematic review and network  meta-analysis. Evidence-based mental health, 24(4),  153. 10.1136/ebmental-2021-300346"
3219,"Liverpool, Shaun, Mota, Catarina Pinheiro, Sales, Célia M. D., Čuš, Anja, Carletto, Sara, Hancheva, Camellia, Sousa, Sónia, Cerón, Sonia Conejo, Moreno-Peral, Patricia, Pietrabissa, Giada, Moltrecht, Bettina, Ulberg, Randi, Ferreira, Nuno, Edbrooke-Childs, Julian (2020).  Engaging Children and Young People in Digital Mental Health Interventions: Systematic Review of Modes of Delivery, Facilitators, and Barriers. Journal of medical Internet research, 22(6),  e16317. 10.2196/16317"
3220,"Carney, Tara, Myers, Bronwyn J., Louw, Johann, Okwundu, Charles I. (2014).  Brief school-based interventions and behavioural outcomes for substance-using adolescents. The Cochrane database of systematic reviews, (2),  CD008969. 10.1002/14651858.CD008969.pub2"
3221,"Lemstra, Mark E., Rogers, Marla (2021).  Mental health and socioeconomic status impact adherence to youth activity and dietary programs: a meta-analysis. Obesity research & clinical practice, 15(4),  309. 10.1016/j.orcp.2021.05.003"
3222,"Flynn, Anna B., Fothergill, Kate E., Wilcox, Holly C., Coleclough, Elizabeth, Horwitz, Russell, Ruble, Anne, Burkey, Matthew D., Wissow, Lawrence S. (2015).  Primary Care Interventions to Prevent or Treat Traumatic Stress in Childhood: A Systematic Review. Academic pediatrics, 15(5),  480. 10.1016/j.acap.2015.06.012"
3223,"Fernández-Batanero, José-María, Román-Graván, Pedro, Reyes-Rebollo, Miguel-María, Montenegro-Rueda, Marta (2021).  Impact of Educational Technology on Teacher Stress and Anxiety: A Literature Review. International journal of environmental research and public health, 18(2),  . 10.3390/ijerph18020548"
3224,"January, James, Madhombiro, Munyaradzi, Chipamaunga, Shalote, Ray, Sunanda, Chingono, Alfred, Abas, Melanie (2018).  Prevalence of depression and anxiety among undergraduate university students in low- and middle-income countries: a systematic review protocol. Systematic reviews, 7(1),  57. 10.1186/s13643-018-0723-8"
3225,"Songco, Annabel, Hudson, Jennifer L., Fox, Elaine (2020).  A Cognitive Model of Pathological Worry in Children and Adolescents: A Systematic Review. Clinical child and family psychology review, 23(2),  229. 10.1007/s10567-020-00311-7"
3226,"Baker, Samantha C., Gledhill, Julia A. (2017).  Systematic Review of Interventions to Reduce Psychiatric Morbidity in Parents and Children After PICU Admissions. Pediatric critical care medicine : a journal of the Society of Critical Care Medicine and the World Federation of Pediatric Intensive and Critical Care  Societies, 18(4),  343. 10.1097/PCC.0000000000001096"
3227,"Kim, Bitna, Merlo, Alida V., Park, Junhwi, Hong, Young-Oh (2022).  A Systematic Review of Public Housing, Poverty (De)Concentration, and Risk Behaviors: What About Youth? Trauma, violence & abuse, 23(1),  73. 10.1177/1524838020927495"
3228,"Bennett, Kathryn, Manassis, Katharina, Walter, Stephen D., Cheung, Amy, Wilansky-Traynor, Pamela, Diaz-Granados, Natalia, Duda, Stephanie, Rice, Maureen, Baer, Susan, Barrett, Paula, Bodden, Denise, Cobham, Vanessa E., Dadds, Mark R., Flannery-Schroeder, Ellen, Ginsburg, Golda, Heyne, David, Hudson, Jennifer L., Kendall, Philip C., Liber, Juliette, Warner, Carrie Masia, Mendlowitz, Sandra, Nauta, Maaike H., Rapee, Ronald M., Silverman, Wendy, Siqueland, Lynne, Spence, Susan H., Utens, Elisabeth, Wood, Jeffrey J. (2013).  Cognitive behavioral therapy age effects in child and adolescent anxiety: an individual patient data metaanalysis. Depression and anxiety, 30(9),  829. 10.1002/da.22099"
3229,"Ye, Xibiao, Bapuji, Sunita Bayyavarapu, Winters, Shannon Elizabeth, Struthers, Ashley, Raynard, Melissa, Metge, Colleen, Kreindler, Sara Adi, Charette, Catherine Joan, Lemaire, Jacqueline Angela, Synyshyn, Margaret, Sutherland, Karen (2014).  Effectiveness of internet-based interventions for children, youth, and young adults with anxiety and/or depression: a systematic review and meta-analysis. BMC health services research, 14(),  313. 10.1186/1472-6963-14-313"
3230,"Oh, Samuel, Kingsley, Karl (2018).  Efficacy of Ketamine in Pediatric Sedation Dentistry: A Systematic Review. Compendium of continuing education in dentistry (Jamesburg, N.J. : 1995), 39(5),  e1. "
3231,"Zlotnick, Cheryl, Tam, Tammy, Zerger, Suzanne (2012).  Common needs but divergent interventions for U.S. homeless and foster care children: results from a systematic review. Health & social care in the community, 20(5),  449. 10.1111/j.1365-2524.2011.01053.x"
3232,"Vismara, Matteo, Caricasole, Valentina, Starcevic, Vladan, Cinosi, Eduardo, Dell'Osso, Bernardo, Martinotti, Giovanni, Fineberg, Naomi A. (2020).  Is cyberchondria a new transdiagnostic digital compulsive syndrome? A systematic review of the evidence. Comprehensive psychiatry, 99(),  152167. 10.1016/j.comppsych.2020.152167"
3233,"Rigney, Gabrielle, Watson, Autumn, Gazmararian, Julie, Blunden, Sarah (2021).  Update on school-based sleep education programs: how far have we come and what has Australia contributed to the field? Sleep medicine, 80(),  134. 10.1016/j.sleep.2021.01.061"
3234,"Kuzik, Nicholas, da Costa, Bruno G. G., Hwang, Yeongho, Verswijveren, Simone J. J. M., Rollo, Scott, Tremblay, Mark S., Bélanger, Stacey, Carson, Valerie, Davis, Melanie, Hornby, Susan, Huang, Wendy Yajun, Law, Barbi, Salmon, Jo, Tomasone, Jennifer R., Wachira, Lucy-Joy, Wijndaele, Katrien, Saunders, Travis J. (2022).  School-related sedentary behaviours and indicators of health and well-being among children and youth: a systematic review. The international journal of behavioral nutrition and physical activity, 19(1),  40. 10.1186/s12966-022-01258-4"
3235,"Jones, Krista, Eathington, Patricia, Baldwin, Kathleen, Sipsma, Heather (2014).  The impact of health education transmitted via social media or text messaging on adolescent and young adult risky sexual behavior: a systematic review of the  literature. Sexually transmitted diseases, 41(7),  413. 10.1097/OLQ.0000000000000146"
3237,"Gearing, Robin E., Schwalbe, Craig S. J., Lee, RaeHyuck, Hoagwood, Kimberly E. (2013).  The effectiveness of booster sessions in CBT treatment for child and adolescent mood and anxiety disorders. Depression and anxiety, 30(9),  800. 10.1002/da.22118"
3238,"Yeager, David S., Miu, Adriana S., Powers, Joseph, Dweck, Carol S. (2013).  Implicit theories of personality and attributions of hostile intent: a meta-analysis, an experiment, and a longitudinal intervention. Child development, 84(5),  1651. 10.1111/cdev.12062"
3239,"Wong, Chin Hoong, Sultan Shah, Zia U. Bakt, Teng, Cheong Lieng, Lin, Tzi Quen, Majeed, Zainab Abdul, Chan, Chun Wai (2016).  A systematic review of anxiety prevalence in adults within primary care and community settings in Malaysia. Asian journal of psychiatry, 24(),  110. 10.1016/j.ajp.2016.08.020"
3240,"Barry, Tom J., Yeung, Sui P., Lau, Jennifer Y. F. (2018).  Meta-analysis of the influence of age on symptom change following cognitive-behavioural treatment for anxiety disorders. Journal of adolescence, 68(),  232. 10.1016/j.adolescence.2018.08.008"
3241,"McLeod, Bryce D., Wood, Jeffrey J., Weisz, John R. (2007).  Examining the association between parenting and childhood anxiety: a meta-analysis. Clinical psychology review, 27(2),  155. 10.1016/j.cpr.2006.09.002"
3242,"Buckman, Joshua E. J., Saunders, Rob, Stott, Joshua, Cohen, Zachary D., Arundell, Laura-Louise, Eley, Thalia C., Hollon, Steven D., Kendrick, Tony, Ambler, Gareth, Watkins, Edward, Gilbody, Simon, Kessler, David, Wiles, Nicola, Richards, David, Brabyn, Sally, Littlewood, Elizabeth, DeRubeis, Robert J., Lewis, Glyn, Pilling, Stephen (2022).  Socioeconomic Indicators of Treatment Prognosis for Adults With Depression: A Systematic Review and Individual Patient Data Meta-analysis. JAMA psychiatry, 79(5),  406. 10.1001/jamapsychiatry.2022.0100"
3243,"Dudeney, Joanne, Sharpe, Louise, Hunt, Caroline (2015).  Attentional bias towards threatening stimuli in children with anxiety: A meta-analysis. Clinical psychology review, 40(),  66. 10.1016/j.cpr.2015.05.007"
3244,"Waller, Gillian, Finch, Tracy, Giles, Emma L., Newbury-Birch, Dorothy (2017).  Exploring the factors affecting the implementation of tobacco and substance use interventions within a secondary school setting: a systematic review. Implementation science : IS, 12(1),  130. 10.1186/s13012-017-0659-8"
3245,"Kaur Khaira, Manjit, Raja Gopal, Raja Lexshimi, Mohamed Saini, Suriati, Md Isa, Zaleha (2023).  Interventional Strategies to Reduce Test Anxiety among Nursing Students: A Systematic Review. International journal of environmental research and public health, 20(2),  . 10.3390/ijerph20021233"
3246,"Buultjens, Melissa, Farouque, Ambereen, Karimi, Leila, Whitby, Linda, Milgrom, Jeannette, Erbas, Bircan (2021).  The contribution of group prenatal care to maternal psychological health outcomes: A systematic review. Women and birth : journal of the Australian College of Midwives, 34(6),  e631. 10.1016/j.wombi.2020.12.004"
3247,"Grande, Antonio José, Elia, Christelle, Peixoto, Clayton, Jardim, Paulo de Tarso Coelho, Dazzan, Paola, Veras, Andre Barciela, Cruickshank, John Kennedy, Harding, Seeromanie (2020).  Mental health interventions for suicide prevention among indigenous adolescents: a systematic review protocol. BMJ open, 10(5),  e034055. 10.1136/bmjopen-2019-034055"
3248,"Rydzewska, E., Dunn, K., Cooper, S.-A., Kinnear, D. (2021).  Mental ill-health in mothers of people with intellectual disabilities compared with mothers of typically developing people: a systematic review and  meta-analysis. Journal of intellectual disability research : JIDR, 65(6),  501. 10.1111/jir.12827"
3249,"Graeff-Martins, Ana Soledade, Flament, Martine F., Fayyad, John, Tyano, Sam, Jensen, Peter, Rohde, Luis Augusto (2008).  Diffusion of efficacious interventions for children and adolescents with mental health problems. Journal of child psychology and psychiatry, and allied disciplines, 49(3),  335. 10.1111/j.1469-7610.2007.01827.x"
3250,"Carney, Tara, Myers, Bronwyn J., Louw, Johann, Okwundu, Charles I. (2016).  Brief school-based interventions and behavioural outcomes for substance-using adolescents. The Cochrane database of systematic reviews, 2016(1),  CD008969. 10.1002/14651858.CD008969.pub3"
3251,"Pandey, Anuja, Hale, Daniel, Das, Shikta, Goddings, Anne-Lise, Blakemore, Sarah-Jayne, Viner, Russell M. (2018).  Effectiveness of Universal Self-regulation-Based Interventions in Children and Adolescents: A Systematic Review and Meta-analysis. JAMA pediatrics, 172(6),  566. 10.1001/jamapediatrics.2018.0232"
3252,"Derzon, James H. (2007).  Using correlational evidence to select youth for prevention programming. The journal of primary prevention, 28(5),  421. 10.1007/s10935-007-0107-7"
3253,"McGrath, Chloë A., Abbott, Maree J. (2019).  Family-Based Psychological Treatment for Obsessive Compulsive Disorder in Children and Adolescents: A Meta-analysis and Systematic Review. Clinical child and family psychology review, 22(4),  478. 10.1007/s10567-019-00296-y"
3254,"Hamel, Candyce, Lang, Eddy, Morissette, Kate, Beck, Andrew, Stevens, Adrienne, Skidmore, Becky, Colquhoun, Heather, LeBlanc, John, Moore, Ainsley, Riva, John J., Thombs, Brett D., Colman, Ian, Grigoriadis, Sophie, Nicholls, Stuart Gordon, Potter, Beth K., Ritchie, Kerri, Robert, Julie, Vasa, Priya, Lauria-Horner, Bianca, Patten, Scott, Vigod, Simone N., Hutton, Brian, Shea, Beverley J., Shanmugasegaram, Shamila, Little, Julian, Moher, David (2019).  Screening for depression in women during pregnancy or the first year postpartum and in the general adult population: a protocol for two systematic reviews to  update a guideline of the Canadian Task Force on Preventive Health Care. Systematic reviews, 8(1),  27. 10.1186/s13643-018-0930-3"
3255,"Di Giacomo, Dina, Martelli, Alessandra, Guerra, Federica, Cielo, Federica, Ranieri, Jessica (2021).  Mediator Effect of Affinity for E-Learning on Mental Health: Buffering Strategy for the Resilience of University Students. International journal of environmental research and public health, 18(13),  . 10.3390/ijerph18137098"
3256,"Gómez-Núñez, María Isabel, Torregrosa, María Soledad, Inglés, Cándido J., Lagos San Martín, Nelly G., Sanmartín, Ricardo, Vicent, María, García-Fernández, José Manuel (2020).  Factor Invariance of the Trait Meta-Mood Scale-24 in a Sample of Chilean Adolescents. Journal of personality assessment, 102(2),  231. 10.1080/00223891.2018.1505730"
3257,"Purgato, Marianna, Gross, Alden L., Jordans, Mark J. D., de Jong, Joop T. V. M., Barbui, Corrado, Tol, Wietse (2014).  Psychosocial interventions for children exposed to traumatic events in low- and middle-income countries: study protocol of an individual patient data  meta-analysis. Systematic reviews, 3(),  34. 10.1186/2046-4053-3-34"
3258,"Ewing, Donna L., Monsen, Jeremy J., Thompson, Ellen J., Cartwright-Hatton, Sam, Field, Andy (2015).  A Meta-Analysis of Transdiagnostic Cognitive Behavioural Therapy in the Treatment of Child and Young Person Anxiety Disorders. Behavioural and cognitive psychotherapy, 43(5),  562. 10.1017/S1352465813001094"
3259,"Yin, Bangmin, Teng, Teng, Tong, Lyu, Li, Xuemei, Fan, Li, Zhou, Xinyu, Xie, Peng (2021).  Efficacy and acceptability of parent-only group cognitive behavioral intervention for treatment of anxiety disorder in children and adolescents: a meta-analysis of  randomized controlled trials. BMC psychiatry, 21(1),  29. 10.1186/s12888-020-03021-0"
3260,"Hovenkamp-Hermelink, Johanna H. M., Jeronimus, Bertus F., Myroniuk, Solomiia, Riese, Harriëtte, Schoevers, Robert A. (2021).  Predictors of persistence of anxiety disorders across the lifespan: a systematic review. The lancet. Psychiatry, 8(5),  428. 10.1016/S2215-0366(20)30433-8"
3261,"Görtz-Dorten, Anja, Hanisch, Charlotte, Hautmann, Christopher, Döpfner, Manfred (2020).  [The prevention of externalizing disturbances]. Zeitschrift fur Kinder- und Jugendpsychiatrie und Psychotherapie, 48(6),  459. 10.1024/1422-4917/a000650"
3262,"Turrini, G., Purgato, M., Acarturk, C., Anttila, M., Au, T., Ballette, F., Bird, M., Carswell, K., Churchill, R., Cuijpers, P., Hall, J., Hansen, L. J., Kösters, M., Lantta, T., Nosè, M., Ostuzzi, G., Sijbrandij, M., Tedeschi, F., Valimaki, M., Wancata, J., White, R., van Ommeren, M., Barbui, C. (2019).  Efficacy and acceptability of psychosocial interventions in asylum seekers and refugees: systematic review and meta-analysis. Epidemiology and psychiatric sciences, 28(4),  376. 10.1017/S2045796019000027"
3263,"Montagni, Ilaria, Tzourio, Christophe, Cousin, Thierry, Sagara, Joseph Amadomon, Bada-Alonzi, Jennifer, Horgan, Aine (2020).  Mental Health-Related Digital Use by University Students: A Systematic Review. Telemedicine journal and e-health : the official journal of the American Telemedicine Association, 26(2),  131. 10.1089/tmj.2018.0316"
3264,"Mcdaid, David, Park, A.-La (2011).  Investing in mental health and well-being: findings from the DataPrev project. Health promotion international, 26 Suppl 1(Suppl 1),  i108. 10.1093/heapro/dar059"
3265,"Silva Junior, Fernando Jose Guedes da, Sales, Jaqueline Carvalho E. Silva, Monteiro, Claudete Ferreira de Souza, Costa, Ana Paula Cardoso, Campos, Luana Ruth Braga, Miranda, Priscilla Ingrid Gomes, Monteiro, Thiago Alberto de Souza, Lima, Regina Aparecida Garcia, Lopes-Junior, Luis Carlos (2020).  Impact of COVID-19 pandemic on mental health of young people and adults: a systematic review protocol of observational studies. BMJ open, 10(7),  e039426. 10.1136/bmjopen-2020-039426"
3266,"Aradilla-Herrero, Amor, Tomás-Sábado, Joaquín, Gómez-Benito, Juana (2014).  Associations between emotional intelligence, depression and suicide risk in nursing students. Nurse education today, 34(4),  520. 10.1016/j.nedt.2013.07.001"
3267,"Wu, Jenny L., Hamilton, Jessica L., Fresco, David M., Alloy, Lauren B., Stange, Jonathan P. (2022).  Decentering predicts attenuated perseverative thought and internalizing symptoms following stress exposure: A multi-level, multi-wave study. Behaviour research and therapy, 152(),  104017. 10.1016/j.brat.2021.104017"
3268,"Christina, Stefanny, Magson, Natasha R., Kakar, Vani, Rapee, Ronald M. (2021).  The bidirectional relationships between peer victimization and internalizing problems in school-aged children: An updated systematic review and meta-analysis. Clinical psychology review, 85(),  101979. 10.1016/j.cpr.2021.101979"
3270,"Nguyen, Tram, Embrett, Mark G., Barr, Neil G., Mulvale, Gillian M., Vania, Diana K., Randall, Glen E., DiRezze, Briano (2017).  Preventing Youth from Falling Through the Cracks Between Child/Adolescent and Adult Mental Health Services: A Systematic Review of Models of Care. Community mental health journal, 53(4),  375. 10.1007/s10597-017-0098-7"
3271,"Hodder, Rebecca Kate, Freund, Megan, Wolfenden, Luke, Bowman, Jenny, Nepal, Smriti, Dray, Julia, Kingsland, Melanie, Yoong, Sze Lin, Wiggers, John (2017).  Systematic review of universal school-based 'resilience' interventions targeting adolescent tobacco, alcohol or illicit substance use: A meta-analysis. Preventive medicine, 100(),  248. 10.1016/j.ypmed.2017.04.003"
3272,"McCashin, Darragh, Murphy, Colette M. (2023).  Using TikTok for public and youth mental health - A systematic review and content analysis. Clinical child psychology and psychiatry, 28(1),  279. 10.1177/13591045221106608"
3273,"Kvamme, Line Solheim, Waaler, Pamela, Helland, Siri Saugestad, Kjøbli, John (2022).  Striving for Happily Ever After: Supportive Interventions for Youth Leaving Residential Placement. A Systematic Review of Reviews. Child and adolescent mental health, 27(4),  389. 10.1111/camh.12507"
3274,"Catalá-López, Ferrán, Hutton, Brian, Núñez-Beltrán, Amparo, Mayhew, Alain D., Page, Matthew J., Ridao, Manuel, Tobías, Aurelio, Catalá, Miguel A., Tabarés-Seisdedos, Rafael, Moher, David (2015).  The pharmacological and non-pharmacological treatment of attention deficit hyperactivity disorder in children and adolescents: protocol for a systematic  review and network meta-analysis of randomized controlled trials. Systematic reviews, 4(),  19. 10.1186/s13643-015-0005-7"
3275,"Blegen, Nina E., Hummelvoll, Jan K., Severinsson, Elisabeth (2010).  Mothers with mental health problems: a systematic review. Nursing & health sciences, 12(4),  519. 10.1111/j.1442-2018.2010.00550.x"
3276,"Hall, Martin T., Sears, Jeanelle, Walton, Matthew T. (2020).  Motivational Interviewing in Child Welfare Services: A Systematic Review. Child maltreatment, 25(3),  263. 10.1177/1077559519893471"
3277,"Sneyers, Barbara, Duceppe, Marc-Alexandre, Frenette, Anne Julie, Burry, Lisa D., Rico, Philippe, Lavoie, Annie, Gélinas, Céline, Mehta, Sangeeta, Dagenais, Maryse, Williamson, David R., Perreault, Marc M. (2020).  Strategies for the Prevention and Treatment of Iatrogenic Withdrawal from Opioids and Benzodiazepines in Critically Ill Neonates, Children and Adults: A Systematic  Review of Clinical Studies. Drugs, 80(12),  1211. 10.1007/s40265-020-01338-4"
3278,"Burkey, Matthew D., Hosein, Megan, Purgato, Marianna, Adi, Ahmad, Morton, Isabella, Kohrt, Brandon A., Tol, Wietse A. (2015).  Psychosocial interventions for disruptive behavioural problems in children living in low- and middle-income countries: study protocol of a systematic review. BMJ open, 5(5),  e007377. 10.1136/bmjopen-2014-007377"
3279,"Mewton, Louise, Visontay, Rachel, Chapman, Cath, Newton, Nicola, Slade, Tim, Kay-Lambkin, Frances, Teesson, Maree (2018).  Universal prevention of alcohol and drug use: An overview of reviews in an Australian context. Drug and alcohol review, 37 Suppl 1(),  S435. 10.1111/dar.12694"
3281,"Iniesta-Sepúlveda, Marina, Rodríguez-Jiménez, Tíscar, Lebowitz, Eli R., Goodman, Wayne K., Storch, Eric A. (2021).  The Relationship of Family Accommodation with Pediatric Anxiety Severity: Meta-analytic Findings and Child, Family and Methodological Moderators. Child psychiatry and human development, 52(1),  1. 10.1007/s10578-020-00987-6"
3282,"McGuire, Joseph F., Piacentini, John, Lewin, Adam B., Brennan, Erin A., Murphy, Tanya K., Storch, Eric A. (2015).  A META-ANALYSIS OF COGNITIVE BEHAVIOR THERAPY AND MEDICATION FOR CHILD OBSESSIVE-COMPULSIVE DISORDER: MODERATORS OF TREATMENT EFFICACY, RESPONSE, AND  REMISSION. Depression and anxiety, 32(8),  580. 10.1002/da.22389"
3283,"Su, Yingying, D'Arcy, Carl, Meng, Xiangfei (2022).  Intergenerational Effect of Maternal Childhood Maltreatment on Next Generation's Vulnerability to Psychopathology: A Systematic Review With Meta-Analysis. Trauma, violence & abuse, 23(1),  152. 10.1177/1524838020933870"
3284,"Yip, Peggy, Middleton, Philippa, Cyna, Allan M., Carlyle, Alison V. (2009).  Non-pharmacological interventions for assisting the induction of anaesthesia in children. The Cochrane database of systematic reviews, (3),  CD006447. 10.1002/14651858.CD006447.pub2"
3285,"Saulle, Rosella, De Sario, Manuela, Bena, Antonella, Capra, Paola, Culasso, Martina, Davoli, Marina, De Lorenzo, Aurelia, Lattke, Lynda Stella, Marra, Michele, Mitrova, Zuzana, Paduano, Stefania, Rabaglietti, Emanuela, Sartini, Marina, Minozzi, Silvia (2022).  School closures and mental health, wellbeing and health behaviours among children and adolescents during the second COVID-19 wave: a systematic review of the  literature. Epidemiologia e prevenzione, 46(5-6),  333. 10.19191/EP22.5-6.A542.089"
3286,"Mujezinovic, Faris, Prosnik, Anica, Alfirevic, Zarko (2010).  Different communication strategies for disclosing results of diagnostic prenatal testing. The Cochrane database of systematic reviews, (11),  CD007750. 10.1002/14651858.CD007750.pub2"
3287,"Ni, Cheng-Hua, Tsai, Wei-Her, Lee, Liang-Ming, Kao, Ching-Chiu, Chen, Yi-Chung (2012).  Minimising preoperative anxiety with music for day surgery patients - a randomised clinical trial. Journal of clinical nursing, 21(5-6),  620. 10.1111/j.1365-2702.2010.03466.x"
3288,"Roberts, Larissa N., Nixon, Reginald D. V. (2023).  Systematic Review and Meta-Analysis of Stepped Care Psychological Prevention and Treatment Approaches for Posttraumatic Stress Disorder. Behavior therapy, 54(3),  476. 10.1016/j.beth.2022.11.005"
3289,"Katz, Cara, Bolton, Shay-Lee, Katz, Laurence Y., Isaak, Corinne, Tilston-Jones, Toni, Sareen, Jitender (2013).  A systematic review of school-based suicide prevention programs. Depression and anxiety, 30(10),  1030. 10.1002/da.22114"
3290,"Daniel-Calveras, Andrea, Baldaquí, Nuria, Baeza, Inmaculada (2022).  Mental health of unaccompanied refugee minors in Europe: A systematic review. Child abuse & neglect, 133(),  105865. 10.1016/j.chiabu.2022.105865"
3291,"Li, Xing-Xing, Fan, Zong-Jing, Cui, Jie, Lin, Quan, Zhuang, Rui, Liu, Rong-Peng, Wu, Yang (2021).  Cardiac rehabilitation of Baduanjin exercise in coronary heart disease after PCI: A protocol for systematic review and meta-analysis of randomized controlled  trials. Medicine, 100(15),  e25501. 10.1097/MD.0000000000025501"
3292,"van Santvoort, Floor, Hosman, Clemens M. H., Janssens, Jan M. A. M., van Doesum, Karin T. M., Reupert, Andrea, van Loon, Linda M. A. (2015).  The Impact of Various Parental Mental Disorders on Children's Diagnoses: A Systematic Review. Clinical child and family psychology review, 18(4),  281. 10.1007/s10567-015-0191-9"
3293,"Van Ryzin, Mark J., Roseth, Cary J., Fosco, Gregory M., Lee, You-Kyung, Chen, I.-Chien (2016).  A component-centered meta-analysis of family-based prevention programs for adolescent substance use. Clinical psychology review, 45(),  72. 10.1016/j.cpr.2016.03.007"
3294,"Beck, Andrew, LeBlanc, John C., Morissette, Kate, Hamel, Candyce, Skidmore, Becky, Colquhoun, Heather, Lang, Eddy, Moore, Ainsley, Riva, John J., Thombs, Brett D., Patten, Scott, Bragg, Heather, Colman, Ian, Goldfield, Gary S., Nicholls, Stuart Gordon, Pajer, Kathleen, Potter, Beth K., Meeder, Robert, Vasa, Priya, Hutton, Brian, Shea, Beverley J., Graham, Eva, Little, Julian, Moher, David, Stevens, Adrienne (2021).  Screening for depression in children and adolescents: a protocol for a systematic review update. Systematic reviews, 10(1),  24. 10.1186/s13643-020-01568-3"
3295,"Spielmans, Glen I., Pasek, Leigh F., McFall, Joseph P. (2007).  What are the active ingredients in cognitive and behavioral psychotherapy for anxious and depressed children? A meta-analytic review. Clinical psychology review, 27(5),  642. 10.1016/j.cpr.2006.06.001"
3296,"Silva, Mariluce Rodrigues Marques, Barros, Waleska Maria Almeida, Silva, Mayara Luclécia da, Silva, José Maurício Lucas da, Souza, Ana Patrícia da Silva, Silva, Ana Beatriz Januário da, Fernandes, Matheus Santos de Sousa, Souza, Sandra Lopes de, Souza, Viviane de Oliveira Nogueira (2021).  Relationship between vitamin D deficiency and psychophysiological variables: a systematic review of the literature. Clinics (Sao Paulo, Brazil), 76(),  e3155. 10.6061/clinics/2021/e3155"
3297,"Piotrowska, Patrycja J., Stride, Christopher B., Rowe, Richard (2012).  Social gradients in child and adolescent antisocial behavior: a systematic review protocol. Systematic reviews, 1(),  38. 10.1186/2046-4053-1-38"
3298,"Alzahrani, Faris, Alshahrani, Najim Z., Abu Sabah, Abdulelah, Zarbah, Abdulmajid, Abu Sabah, Saeed, Mamun, Mohammed A. (2022).  Prevalence and factors associated with mental health problems in Saudi general population during the coronavirus disease 2019 pandemic: A systematic review and  meta-analysis. PsyCh journal, 11(1),  18. 10.1002/pchj.516"
3299,"Korja, Riikka, Nolvi, Saara, Grant, Kerry Ann, McMahon, Cathy (2017).  The Relations Between Maternal Prenatal Anxiety or Stress and Child's Early Negative Reactivity or Self-Regulation: A Systematic Review. Child psychiatry and human development, 48(6),  851. 10.1007/s10578-017-0709-0"
3300,"Hurrell, Katherine E., Houwing, Frances L., Hudson, Jennifer L. (2017).  Parental Meta-Emotion Philosophy and Emotion Coaching in Families of Children and Adolescents with an Anxiety Disorder. Journal of abnormal child psychology, 45(3),  569. 10.1007/s10802-016-0180-6"
3301,"Stefánsdóttir, Íris Harpa, Ivarsson, Tord, Skarphedinsson, Gudmundur (2023).  Efficacy and safety of serotonin reuptake inhibitors (SSRI) and serotonin noradrenaline reuptake inhibitors (SNRI) for children and adolescents with  anxiety disorders: a systematic review and meta-analysis. Nordic journal of psychiatry, 77(2),  137. 10.1080/08039488.2022.2075460"
3302,"Coulter, Robert W. S., Egan, James E., Kinsky, Suzanne, Friedman, M. Reuel, Eckstrand, Kristen L., Frankeberger, Jessica, Folb, Barbara L., Mair, Christina, Markovic, Nina, Silvestre, Anthony, Stall, Ron, Miller, Elizabeth (2019).  Mental Health, Drug, and Violence Interventions for Sexual/Gender Minorities: A Systematic Review. Pediatrics, 144(3),  . 10.1542/peds.2018-3367"
